i,compression_ratio
0,0.03720392404942573
5,0.038205996700288965
10,0.04017294872732243
15,0.042082203494896255
20,0.04394750979899737
25,0.045856764566571194
30,0.047688851236437964
35,0.049456008621210336
40,0.04691550133037482
45,0.04590993187590798
50,0.04590993187590798
55,0.04691550133037482
60,0.049456008621210336
65,0.0545006246562801
70,0.0640666872236333
75,0.08141766775915288
80,0.11830481319121476
85,0.19412759518458356
90,0.2711104417734516
95,0.2711104417734516
100,0.2711104417734516
